date,open,high,low,price,volume,return,log_return,range,vol_7p,vol_24p,ma_24,ma_168,price_ma_ratio,tx_count,hashrate,fees_btc,mempool_size,miners_revenue,difficulty,fg_score
2021-08-14 16:00:00+00:00,46944.47,47374.67,46331.28,47068.51,10101.691755,0.0026422707509532,0.0026387860905204,1043.3899999999994,0.0188153314821263,0.0181122696134603,45433.43875,36381.26803571428,1.035988278567182,209074.0,126820808.5468918,10.89573864,725698.171875,48765927.53500252,15556093717703.0,32.0
2021-08-15 00:00:00+00:00,47068.5,47372.27,45519.0,45742.92,12973.149394,-0.0281629905004429,-0.028567174282561,1853.2699999999968,0.0236100745868265,0.0192331017148092,45539.065,36441.4180952381,1.0044764862871032,186239.0,140740165.58252627,9.728880110000004,407926.046875,53211493.46389551,15556093717703.0,32.0
2021-08-15 08:00:00+00:00,45738.34,46498.89,45500.0,46167.9,15167.918236,0.0092906180890945,0.009247725756375,998.8899999999994,0.0187010369322695,0.0192812591247869,45655.63458333333,36511.329940476186,1.0112202014349765,186239.0,140740165.58252627,9.728880110000004,684062.265625,53211493.46389551,15556093717703.0,32.0
2021-08-15 16:00:00+00:00,46173.49,47299.15,45649.82,46973.82,13969.643704,0.017456284561351,0.0173056738355843,1649.3300000000015,0.01976556054405,0.0188121498580409,45755.68791666667,36579.03029761904,1.0266225280133887,186239.0,140740165.58252627,9.728880110000004,2675776.453125,53211493.46389551,15556093717703.0,32.0
2021-08-16 00:00:00+00:00,46973.82,48053.83,46741.44,47309.85,18334.212136,0.0071535591527365,0.0071280938215073,1312.3899999999994,0.0155081682028857,0.0188291782642816,45860.07708333334,36664.056190476185,1.031612962927041,263529.0,124500915.7076194,16.332771140000002,688099.015625,47962042.2573277,15556093717703.0,32.0
2021-08-16 08:00:00+00:00,47309.85,47709.12,45951.73,46344.03,20442.008447,-0.0204147762041096,-0.0206260379338837,1757.3899999999994,0.017129199480435,0.0189350568520977,45958.38874999999,36745.342142857146,1.0083910959563396,263529.0,124500915.7076194,16.332771140000002,2583738.59375,47962042.2573277,15556093717703.0,32.0
2021-08-16 16:00:00+00:00,46344.03,46666.0,45660.0,45901.29,13704.353431,-0.0095533340540302,-0.0095992598803648,1006.0,0.0167520949350259,0.0190449650533031,46046.177083333336,36830.41571428572,0.9968534394707488,263529.0,124500915.7076194,16.332771140000002,3842574.78125,47962042.2573277,15556093717703.0,32.0
2021-08-17 00:00:00+00:00,45901.3,46620.0,45239.45,45947.49,14831.243999,0.0010065076602421,0.0010060014710341,1380.550000000003,0.0166701118100248,0.0190418708372613,46135.625,36909.57351190477,0.995922131758267,257766.0,133007189.45161822,15.65187721999999,11955488.0625,51238797.93256642,15556093717703.0,32.0
2021-08-17 08:00:00+00:00,45947.49,47160.0,45659.0,45730.0,20321.999816,-0.0047334468106962,-0.004744685047807,1501.0,0.0127387381070321,0.0164731052981291,46129.76041666666,36993.03732142857,0.9913340018882424,257766.0,133007189.45161822,15.65187721999999,3877100.828125,51238797.93256642,15556093717703.0,32.0
2021-08-17 16:00:00+00:00,45730.0,46222.4,44376.0,44695.95,21886.097814,-0.0226120708506452,-0.0228716441820792,1846.4000000000012,0.0144632743766126,0.0169951927261392,46064.86666666666,37065.57535714285,0.970282847520815,257766.0,133007189.45161822,15.65187721999999,2018022.46875,51238797.93256642,15556093717703.0,32.0
2021-08-18 00:00:00+00:00,44695.95,45500.0,44203.28,44951.32,19862.684914,0.0057134930569773,0.0056972329607534,1296.7200000000012,0.0119512477859434,0.0170136791568128,46023.338333333326,37130.86738095238,0.976707071408662,247333.0,104395177.76725852,15.411591230000004,837696.125,38733931.86284885,15556093717703.0,32.0
2021-08-18 08:00:00+00:00,44951.31,45833.0,44650.0,45820.0,17062.372291,0.0193249052530604,0.0191405505767113,1183.0,0.014771444471191,0.0171218040134239,46050.59958333333,37204.25940476191,0.9949924738131576,247333.0,104395177.76725852,15.411591230000004,5915285.890625,38733931.86284885,15556093717703.0,32.0
2021-08-18 16:00:00+00:00,45820.0,46000.0,44401.0,44705.29,17174.35878,-0.0243280226975119,-0.0246288378889708,1599.0,0.0155301575202339,0.0177554849348999,46013.94541666666,37269.89761904762,0.971559591232256,247333.0,104395177.76725852,15.411591230000004,11190100.09375,38733931.86284885,15556093717703.0,32.0
2021-08-19 00:00:00+00:00,44699.37,45234.56,43927.7,44660.01,16896.712561,-0.0010128555255988,-0.0010133688103748,1306.8600000000006,0.0154504761841874,0.017363362409942,45943.56041666667,37340.17303571428,0.9720624521690088,253447.0,119087832.41598378,12.909055029999998,1817143.796875,44064382.99067613,15556093717703.0,32.0
2021-08-19 08:00:00+00:00,44660.01,45800.0,44123.65,45779.58,18544.264872,0.025068735989983,0.024759669844406,1676.3499999999983,0.0189744431257424,0.0181773241596136,45915.37541666667,37410.965059523805,0.9970424848880278,253447.0,119087832.41598378,12.909055029999998,1144259.21875,44064382.99067613,15556093717703.0,32.0
2021-08-19 16:00:00+00:00,45779.59,47033.0,45405.86,46760.62,17970.776487,0.0214296417747825,0.0212032555414494,1627.1399999999994,0.0204877794879984,0.0181899700678671,45967.44291666666,37482.97416666667,1.0172551926538806,253447.0,119087832.41598378,12.909055029999998,3993252.9375,44064382.99067613,15556093717703.0,32.0
2021-08-20 00:00:00+00:00,46760.62,47390.0,46622.99,46833.48,15632.757622,0.0015581487157356,0.0015569360615258,767.010000000002,0.0171430015138506,0.0181258801569069,46033.6875,37557.674523809525,1.0173740698048577,271837.0,123727618.0945286,15.74679145999999,892890.265625,48449546.18566341,15556093717703.0,32.0
2021-08-20 08:00:00+00:00,46833.48,48720.29,46720.0,48718.38,23468.205523,0.0402468490490135,0.0394580398438949,2000.2900000000009,0.0212482219815131,0.018962756252222,46222.11208333334,37653.57517857143,1.054005924960031,271837.0,123727618.0945286,15.74679145999999,2168154.828125,48449546.18566341,15556093717703.0,32.0
